canonical_smiles,pIC50
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1Cl,6.769551078621726
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccccc1,4.657577319177793
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccccc1Cl,4.853871964321762
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1cccc(Cl)c1,4.853871964321762
Cc1ccccc1C(=O)NS(=O)(=O)c1ccc(Cl)cc1,4.823908740944319
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1cccc(Br)c1,4.823908740944319
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccc([N+](=O)[O-])cc1,4.958607314841775
CN(C)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1,4.795880017344075
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1cc(Cl)ccc1Cl,4.886056647693163
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1cc(Cl)cc(Cl)c1,4.7447274948966935
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccc(Br)cc1Cl,6.698970004336019
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1Br,6.619788758288394
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccc(Br)cc1Br,6.6020599913279625
Cc1cc(Cl)ccc1C(=O)NS(=O)(=O)c1ccc(Cl)cc1,6.522878745280337
COc1cc(OC)cc(-c2cc3cnc(NCCCO)cc3nc2NC(=O)NC(C)(C)C)c1,7.327902142064283
COc1cc(OC)cc(-c2cc3cnc(NCCCCO)cc3nc2NC(=O)NC(C)(C)C)c1,7.387216143280264
COc1cc(OC)cc(-c2cc3cnc(NCCCCCO)cc3nc2NC(=O)NC(C)(C)C)c1,7.327902142064283
CCNC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1cc(OC)cc(OC)c1,6.031517051446065
COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCN(C)CC4)nc3nc2NC(=O)NC(C)(C)C)c1,6.657577319177793
CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,6.721246399047171
COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCOCC4)cc3nc2NC(=O)NC(C)(C)C)c1,7.431798275933005
CCNC(=O)Nc1nc2cc(NCCCN3CCN(C)CC3)ncc2cc1-c1cc(OC)cc(OC)c1,6.055517327849832
COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCN(C)CC4)cc3nc2NC(=O)NC(C)(C)C)c1,7.136677139879544
CCN(CC)CCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3cc(OC)cc(OC)c3)cc2cn1,6.552841968657781
COc1cc(OC)cc(-c2cc3cnc(NCCCCN4CCOCC4)cc3nc2NC(=O)NC(C)(C)C)c1,7.086186147616283
COc1cc(OC)cc(-c2cc3cnc(NCCCCN4CCN(C)CC4)cc3nc2NC(=O)NC(C)(C)C)c1,7.180456064458132
CCNC(=O)Nc1nc2cc(NCCCCN(CC)CC)ncc2cc1-c1cc(OC)cc(OC)c1,6.275724130399211
CCN(CC)CCCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3cc(OC)cc(OC)c3)cc2cn1,7.366531544420414
COc1cc(OC)cc(-c2cc3cnc(NCCCCCN4CCOCC4)cc3nc2NC(=O)NC(C)(C)C)c1,7.040958607678906
CCN(CC)CCCCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3cc(OC)cc(OC)c3)cc2cn1,6.721246399047171
CCOC(=O)Nc1cn2ncnc(Nc3cc(C(=O)NOC)c(F)cc3F)c2c1C(C)C,7.508638306165728
CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCCCN4CCCCC4)c(C(C)C)c23)c(F)cc1F,7.207608310501746
CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCCCS(C)(=O)=O)c(C(C)C)c23)c(F)cc1F,7.0
CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCC4CCCO4)c(C(C)C)c23)c(F)cc1F,7.337242168318426
CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OC4CCN(C)CC4)c(C(C)C)c23)c(F)cc1F,7.721246399047171
CONC(=O)c1cc(Nc2ncnn3cc(-c4ncc(C)o4)c(C(C)C)c23)c(F)cc1F,8.958607314841775
CONC(=O)c1cc(Nc2ncnn3cc(-c4nc(C)no4)c(C(C)C)c23)c(F)cc1F,8.167491087293763
CONC(=O)c1cc(Nc2ncnn3cc(-c4nnc(C)o4)c(C(C)C)c23)c(F)cc1F,8.119186407719209
CONC(=O)c1cc(Nc2ncnn3cc(-c4nnco4)c(C(C)C)c23)c(F)cc1F,7.040958607678906
CCc1nnc(-c2cn3ncnc(Nc4cc(C(=O)NOC)c(F)cc4F)c3c2C(C)C)o1,8.744727494896694
CONC(=O)c1cc(Nc2ncnn3cc(-c4nnc(C(C)C)o4)c(C(C)C)c23)c(F)cc1F,7.744727494896693
CONC(=O)c1cc(Nc2ncnn3cc(-c4nnc(CC(C)C)o4)c(C(C)C)c23)c(F)cc1F,8.67778070526608
CONC(=O)c1cc(Nc2ncnn3cc(-c4nnc(C5CC5)o4)c(C(C)C)c23)c(F)cc1F,8.443697499232712
CONC(=O)c1cc(Nc2ncnn3cc(-c4nnc(CC5CC5)o4)c(C(C)C)c23)c(F)cc1F,8.397940008672037
CONC(=O)c1cc(Nc2ncnn3cc(-c4nnc(C(F)F)o4)c(C(C)C)c23)c(F)cc1F,7.769551078621726
